loaderOff	recOff	width	columnName	stringVA	lea@
0xd4	0x0f4	dword	CYLOF_SCALAR	1435e9a08	142228674
0xd8	0x0f8	dword	CYLOF_SCALAR_MOVING	1435e9a18	1422286a5
0xdc	0x0fc	dword	CYLOF_OVERRIDE	1435e9a30	1422286d6
0x178	0x198	dword	LAUNCH_PITCH_ADDITIVE_DEGREES	1435e9a80	142228782
0x17c	0x19c	byte	TP_FORCE_CAMERA_OVERRIDES	1435e9aa8	1422287b3
0x190	0x1b0	dword	TP_CAMERA_LOOK_OFFSET_X	1435e9ac8	1422287ea
0x194	0x1b4	dword	TP_CAMERA_LOOK_OFFSET_Y	1435e9ae8	14222881b
0x198	0x1b8	dword	TP_CAMERA_LOOK_OFFSET_Z	1435e9b08	14222884c
0x19c	0x1bc	dword	TP_CAMERA_POSITION_OFFSET_X	1435e9b28	14222887d
0x1a0	0x1c0	dword	TP_CAMERA_POSITION_OFFSET_Y	1435e9b50	1422288ae
0x1a4	0x1c4	dword	TP_CAMERA_POSITION_OFFSET_Z	1435e9b78	1422288df
0x1a8	0x1c8	dword	TP_CAMERA_FOV	1435e9ba0	142228910
0x1ac	0x1cc	dword	TP_CAMERA_POS_OFFSET_Y_MOV	1435e9bb0	142228941
0x1b0	0x1d0	dword	TP_CAMERA_LOOK_OFFSET_Y_MOV	1435e9bd0	142228972
0x1bc	0x1dc	dword	TP_EXTRA_LEAD_FROM_PITCH_A	1435e9bf8	1422289a3
0x1c0	0x1e0	dword	TP_EXTRA_LEAD_FROM_PITCH_B	1435e9c18	1422289d4
0x1c4	0x1e4	dword	TP_EXTRA_LEAD_PITCH_A	1435e9c38	142228a05
0x1c8	0x1e8	dword	TP_EXTRA_LEAD_PITCH_B	1435e9c58	142228a36
0x1cc	0x1ec	dword	TP_EXTRA_HEIGHT_FROM_PITCH_A	1435e9c78	142228a67
0x1d0	0x1f0	dword	TP_EXTRA_HEIGHT_FROM_PITCH_B	1435e9ca0	142228a98
0x1d4	0x1f4	dword	TP_EXTRA_HEIGHT_PITCH_A	1435e9cc8	142228ac9
0x1d8	0x1f8	dword	TP_EXTRA_HEIGHT_PITCH_B	1435e9ce8	142228afa
0x1dc	0x1fc	dword	TP_EXTRA_DRAW_FROM_PITCH_A	1435e9d08	142228b2b
0x1e0	0x200	dword	TP_EXTRA_DRAW_FROM_PITCH_B	1435e9d28	142228b5c
0x1e4	0x204	dword	TP_EXTRA_DRAW_PITCH_A	1435e9d48	142228b8d
